Institution,SNAPSHOT_TERM,Career,Enrollment Measure Title,Term Type,Enrollment Measure Value
ECU,Fall 2016,*,Student Count,Fall,"28,962"
ASU,Fall 2016,*,Student Count,Fall,"18,295"
WSSU,Fall 2015,*,Student Count,Fall,"5,107"
WCU,Fall 2015,*,Student Count,Fall,"10,340"
UNCSA,Fall 2015,*,Student Count,Fall,970
UNCW,Fall 2015,*,Student Count,Fall,"14,918"
UNCP,Fall 2015,*,Student Count,Fall,"6,441"
UNCG,Fall 2015,*,Student Count,Fall,"19,393"
UNCC,Fall 2015,*,Student Count,Fall,"27,983"
UNC-CH,Fall 2015,*,Student Count,Fall,"29,084"
UNCA,Fall 2015,*,Student Count,Fall,"3,891"
NC State,Fall 2015,*,Student Count,Fall,"34,015"
NCCU,Fall 2015,*,Student Count,Fall,"8,011"
NCA&T,Fall 2015,*,Student Count,Fall,"10,852"
FSU,Fall 2015,*,Student Count,Fall,"6,104"
ECSU,Fall 2015,*,Student Count,Fall,"1,585"
ECU,Fall 2015,*,Student Count,Fall,"28,289"
ASU,Fall 2015,*,Student Count,Fall,"17,932"
WSSU,Fall 2014,*,Student Count,Fall,"5,220"
WCU,Fall 2014,*,Student Count,Fall,"10,382"
UNCSA,Fall 2014,*,Student Count,Fall,958
UNCW,Fall 2014,*,Student Count,Fall,"14,570"
UNCP,Fall 2014,*,Student Count,Fall,"6,269"
UNCG,Fall 2014,*,Student Count,Fall,"18,647"
UNCC,Fall 2014,*,Student Count,Fall,"27,238"
UNC-CH,Fall 2014,*,Student Count,Fall,"29,135"
UNCA,Fall 2014,*,Student Count,Fall,"3,845"
NC State,Fall 2014,*,Student Count,Fall,"33,989"
NCCU,Fall 2014,*,Student Count,Fall,"7,687"
NCA&T,Fall 2014,*,Student Count,Fall,"10,725"
FSU,Fall 2014,*,Student Count,Fall,"5,899"
ECSU,Fall 2014,*,Student Count,Fall,"1,867"
ECU,Fall 2014,*,Student Count,Fall,"27,511"
ASU,Fall 2014,*,Student Count,Fall,"18,026"
WSSU,Fall 2013,*,Student Count,Fall,"5,399"
WCU,Fall 2013,*,Student Count,Fall,"10,107"
UNCSA,Fall 2013,*,Student Count,Fall,912
UNCW,Fall 2013,*,Student Count,Fall,"13,937"
UNCP,Fall 2013,*,Student Count,Fall,"6,222"
UNCG,Fall 2013,*,Student Count,Fall,"18,074"
UNCC,Fall 2013,*,Student Count,Fall,"26,571"
UNC-CH,Fall 2013,*,Student Count,Fall,"29,127"
UNCA,Fall 2013,*,Student Count,Fall,"3,784"
NC State,Fall 2013,*,Student Count,Fall,"34,009"
NCCU,Fall 2013,*,Student Count,Fall,"8,093"
NCA&T,Fall 2013,*,Student Count,Fall,"10,561"
FSU,Fall 2013,*,Student Count,Fall,"6,179"
ECSU,Fall 2013,*,Student Count,Fall,"2,421"
ECU,Fall 2013,*,Student Count,Fall,"26,887"
ASU,Fall 2013,*,Student Count,Fall,"17,838"
WSSU,Fall 2012,*,Student Count,Fall,"5,689"
WCU,Fall 2012,*,Student Count,Fall,"9,608"
UNCSA,Fall 2012,*,Student Count,Fall,880
UNCW,Fall 2012,*,Student Count,Fall,"13,733"
UNCP,Fall 2012,*,Student Count,Fall,"6,269"
UNCG,Fall 2012,*,Student Count,Fall,"18,516"
UNCC,Fall 2012,*,Student Count,Fall,"26,232"
UNC-CH,Fall 2012,*,Student Count,Fall,"29,278"
UNCA,Fall 2012,*,Student Count,Fall,"3,751"
NC State,Fall 2012,*,Student Count,Fall,"34,340"
NCCU,Fall 2012,*,Student Count,Fall,"8,604"
NCA&T,Fall 2012,*,Student Count,Fall,"10,636"
FSU,Fall 2012,*,Student Count,Fall,"6,060"
ECSU,Fall 2012,*,Student Count,Fall,"2,878"
ECU,Fall 2012,*,Student Count,Fall,"26,947"
ASU,Fall 2012,*,Student Count,Fall,"17,589"
